"","dia","tipo","numero","well","replica","factor1","factor2","factor3"
"1","D1","CLP","1","1","1","CLP_D1","CLP_D1_1","CLP_D1_1_1"
"2","D1","CLP","1","2","1","CLP_D1","CLP_D1_1","CLP_D1_1_2"
"3","D1","CLP","2","1","1","CLP_D1","CLP_D1_2","CLP_D1_2_1"
"4","D1","CLP","2","2","1","CLP_D1","CLP_D1_2","CLP_D1_2_2"
"5","D1","CLP","3","1","1","CLP_D1","CLP_D1_3","CLP_D1_3_1"
"6","D1","CLP","3","2","1","CLP_D1","CLP_D1_3","CLP_D1_3_2"
"7","D1","CLP","4","1","1","CLP_D1","CLP_D1_4","CLP_D1_4_1"
"8","D1","CLP","4","2","1","CLP_D1","CLP_D1_4","CLP_D1_4_2"
"9","D2","CLP","12","1","1","CLP_D2","CLP_D2_12","CLP_D2_12_1"
"10","D2","CLP","12","2","1","CLP_D2","CLP_D2_12","CLP_D2_12_2"
"11","D2","CLP","13","1","1","CLP_D2","CLP_D2_13","CLP_D2_13_1"
"12","D2","CLP","13","2","1","CLP_D2","CLP_D2_13","CLP_D2_13_2"
"13","D2","CLP","1","1","1","CLP_D2","CLP_D2_1","CLP_D2_1_1"
"14","D2","CLP","1","2","1","CLP_D2","CLP_D2_1","CLP_D2_1_2"
"15","D2","CLP","1","3","1","CLP_D2","CLP_D2_1","CLP_D2_1_3"
"16","D2","CLP","2","1","1","CLP_D2","CLP_D2_2","CLP_D2_2_1"
"17","D2","CLP","2","2","1","CLP_D2","CLP_D2_2","CLP_D2_2_2"
"18","D2","CLP","2","3","1","CLP_D2","CLP_D2_2","CLP_D2_2_3"
"19","D2","CLP","3","1","1","CLP_D2","CLP_D2_3","CLP_D2_3_1"
"20","D2","CLP","3","2","1","CLP_D2","CLP_D2_3","CLP_D2_3_2"
"21","D2","CLP","3","3","3","CLP_D2","CLP_D2_3","CLP_D2_3_3"
"22","D2","CLP","4","1","1","CLP_D2","CLP_D2_4","CLP_D2_4_1"
"23","D2","CLP","4","2","1","CLP_D2","CLP_D2_4","CLP_D2_4_2"
"24","D2","CLP","4","3","1","CLP_D2","CLP_D2_4","CLP_D2_4_3"
"25","D2","CLP","5","1","1","CLP_D2","CLP_D2_5","CLP_D2_5_1"
"26","D2","CLP","5","2","1","CLP_D2","CLP_D2_5","CLP_D2_5_2"
"27","D2","CLP","5","3","1","CLP_D2","CLP_D2_5","CLP_D2_5_3"
"28","D2","CLP","6","1","1","CLP_D2","CLP_D2_6","CLP_D2_6_1"
"29","D2","CLP","6","2","1","CLP_D2","CLP_D2_6","CLP_D2_6_2"
"30","D2","CLP","6","3","1","CLP_D2","CLP_D2_6","CLP_D2_6_3"
"31","D4","CLP","14","1","1","CLP_D4","CLP_D4_14","CLP_D4_14_1"
"32","D4","CLP","14","2","1","CLP_D4","CLP_D4_14","CLP_D4_14_2"
"33","D4","CLP","15","1","1","CLP_D4","CLP_D4_15","CLP_D4_15_1"
"34","D4","CLP","15","2","1","CLP_D4","CLP_D4_15","CLP_D4_15_2"
"35","D4","CLP","16","1","1","CLP_D4","CLP_D4_16","CLP_D4_16_1"
"36","D4","CLP","16","2","1","CLP_D4","CLP_D4_16","CLP_D4_16_2"
"37","D4","CLP","17","1","1","CLP_D4","CLP_D4_17","CLP_D4_17_1"
"38","D4","CLP","17","2","1","CLP_D4","CLP_D4_17","CLP_D4_17_2"
"39","D4","CLP","18","1","1","CLP_D4","CLP_D4_18","CLP_D4_18_1"
"40","D4","CLP","18","2","1","CLP_D4","CLP_D4_18","CLP_D4_18_2"
